note_index,note,start_time_s,duration_s,end_time_s,source_file
1,C2,0.009,0.313,0.322,note_001.wav
2,G2,0.012,0.290,0.302,note_002.wav
3,A1,0.016,0.615,0.631,note_003.wav
4,A2,0.023,0.580,0.603,note_004.wav
5,C2,0.030,0.604,0.633,note_005.wav
6,B1,0.037,1.207,1.244,note_006.wav
7,G2,0.051,0.302,0.352,note_007.wav
8,G2,0.054,0.290,0.344,note_008.wav
9,A1,0.057,0.604,0.661,note_009.wav
10,F3,0.064,0.604,0.668,note_010.wav
11,D2,0.071,0.592,0.664,note_011.wav
12,B1,0.078,1.207,1.286,note_012.wav
13,G2,0.092,0.313,0.406,note_013.wav
14,G#2,0.096,0.279,0.375,note_014.wav
15,A1,0.099,0.604,0.703,note_015.wav
16,E2,0.106,0.592,0.698,note_016.wav
17,C2,0.113,0.604,0.717,note_017.wav
18,B1,0.120,0.604,0.724,note_018.wav
19,A1,0.127,1.498,1.625,note_019.wav
20,F2,0.144,0.383,0.528,note_020.wav
21,F2,0.149,0.372,0.520,note_021.wav
22,E2,0.153,0.743,0.896,note_022.wav
23,F1,0.162,0.766,0.928,note_023.wav
24,D2,0.171,0.731,0.902,note_024.wav
25,C2,0.179,2.725,2.904,note_025.wav
